customer_id,name,email,phone,plan_type,monthly_charge,tenure_months,total_charges,contract_type,payment_method,num_tickets,avg_satisfaction,churn_status
453,Cliente 453,cliente453@example.com,0983068980,Plan Prepago Movil,34.91,62,2047.78,month-to-month,cash,2,4.3,0
454,Cliente 454,cliente454@example.com,0918623898,Plan Ilimitado,44.12,35,1520.99,one-year,bank_transfer,4,,0
455,Cliente 455,cliente455@example.com,0947092909,Plan Familiar,34.28,11,352.5,two-year,bank_transfer,1,2.73,0
456,Cliente 456,cliente456@example.com,0955649162,Fibra 1GB,37.75,22,763.33,month-to-month,credit_card,1,4.6,0
457,Cliente 457,cliente457@example.com,0906617962,Plan Familiar,46.75,16,747.66,one-year,credit_card,2,5.0,0
458,Cliente 458,cliente458@example.com,0900623041,Internet Hogar 100MB,37.4,33,1135.61,two-year,credit_card,1,5.0,0
459,Cliente 459,cliente459@example.com,0945923894,Plan Ilimitado,37.27,34,1289.1,month-to-month,bank_transfer,0,4.91,0
460,Cliente 460,cliente460@example.com,0937776120,Plan Familiar,26.82,31,782.17,one-year,cash,0,3.95,0
461,Cliente 461,cliente461@example.com,0938274126,Fibra 1GB,24.23,33,817.8,month-to-month,cash,1,3.11,0
462,Cliente 462,cliente462@example.com,0973905287,Fibra 500MB,46.09,66,2905.89,one-year,credit_card,1,3.54,0
463,Cliente 463,cliente463@example.com,0903754150,Fibra 200MB,50.52,70,3378.42,month-to-month,credit_card,1,4.08,0
464,Cliente 464,cliente464@example.com,0932644837,Plan Familiar,19.29,35,683.65,two-year,credit_card,1,2.22,0
465,Cliente 465,cliente465@example.com,0981706228,Fibra 1GB,58.68,70,4011.24,two-year,cash,0,2.75,0
466,Cliente 466,cliente466@example.com,0915782355,Fibra 200MB,58.75,59,3224.12,month-to-month,credit_card,0,2.03,0
467,Cliente 467,cliente467@example.com,0915067422,Plan Prepago Movil,62.54,59,3791.56,month-to-month,credit_card,4,3.86,0
468,Cliente 468,cliente468@example.com,0964994287,Fibra 200MB,50.4,16,766.9,month-to-month,bank_transfer,1,3.69,0
469,Cliente 469,cliente469@example.com,0919251461,Plan Ilimitado,56.47,32,1654.19,one-year,bank_transfer,1,,0
470,Cliente 470,cliente470@example.com,0927997912,Plan Familiar,84.33,25,2028.98,one-year,credit_card,0,4.5,0
471,Cliente 471,cliente471@example.com,0949730632,Fibra 500MB,39.57,7,273.14,month-to-month,bank_transfer,1,2.45,0
472,Cliente 472,cliente472@example.com,0922361499,Combo TV+Internet,26.18,5,129.79,two-year,credit_card,0,2.84,0
473,Cliente 473,cliente473@example.com,0982184441,Fibra 500MB,17.39,45,802.38,month-to-month,credit_card,1,4.46,0
474,Cliente 474,cliente474@example.com,0972277870,Plan Familiar,76.6,30,2254.82,month-to-month,credit_card,1,4.62,0
475,Cliente 475,cliente475@example.com,0944344696,Plan Ilimitado,76.84,60,4304.07,month-to-month,credit_card,2,2.72,0
476,Cliente 476,cliente476@example.com,0998725191,Plan Ilimitado,28.36,48,1278.58,month-to-month,cash,1,3.86,0
477,Cliente 477,cliente477@example.com,0929155237,Fibra 200MB,31.91,6,175.21,month-to-month,bank_transfer,1,2.74,0
478,Cliente 478,cliente478@example.com,0975536007,Plan Familiar,39.17,61,2414.19,month-to-month,bank_transfer,0,3.38,0
479,Cliente 479,cliente479@example.com,0917029292,Combo TV+Internet,67.04,36,2210.45,month-to-month,credit_card,0,3.76,1
480,Cliente 480,cliente480@example.com,0966627383,Plan Ilimitado,21.83,41,886.86,two-year,bank_transfer,4,4.22,0
481,Cliente 481,cliente481@example.com,0989744334,Combo TV+Internet,15.0,70,1039.02,month-to-month,cash,2,3.95,0
482,Cliente 482,cliente482@example.com,0947886984,Plan Prepago Movil,84.02,46,3933.81,two-year,credit_card,1,3.9,0
483,Cliente 483,cliente483@example.com,0944033726,Fibra 500MB,50.62,1,46.12,one-year,cash,3,2.41,1
484,Cliente 484,cliente484@example.com,0933050256,Plan Prepago Movil,53.18,12,593.77,one-year,bank_transfer,1,4.03,0
485,Cliente 485,cliente485@example.com,0942833032,Fibra 1GB,41.31,31,1327.27,month-to-month,bank_transfer,0,4.21,0
486,Cliente 486,cliente486@example.com,0931174655,Plan Prepago Movil,53.38,2,105.25,one-year,credit_card,3,4.36,0
487,Cliente 487,cliente487@example.com,0943284876,Plan Prepago Movil,17.74,12,206.21,month-to-month,bank_transfer,1,2.81,0
488,Cliente 488,cliente488@example.com,0986876782,Fibra 500MB,29.86,57,1722.7,month-to-month,bank_transfer,0,4.61,0
489,Cliente 489,cliente489@example.com,0985117866,Combo TV+Internet,46.89,10,485.49,month-to-month,cash,1,2.15,1
490,Cliente 490,cliente490@example.com,0989818577,Plan Familiar,15.0,12,169.1,month-to-month,cash,0,3.13,1
491,Cliente 491,cliente491@example.com,0968183279,Fibra 1GB,39.55,36,1473.95,two-year,credit_card,1,3.3,1
492,Cliente 492,cliente492@example.com,0909390658,Plan Prepago Movil,38.45,6,211.39,two-year,cash,1,2.21,0
493,Cliente 493,cliente493@example.com,0940128085,Fibra 500MB,39.55,18,745.11,one-year,cash,0,3.28,0
494,Cliente 494,cliente494@example.com,0959768497,Fibra 1GB,35.08,68,2205.88,month-to-month,bank_transfer,2,3.84,0
495,Cliente 495,cliente495@example.com,0995649615,Combo TV+Internet,27.07,46,1170.43,two-year,credit_card,0,1.59,0
496,Cliente 496,cliente496@example.com,0916681434,Plan Ilimitado,15.0,70,960.21,one-year,credit_card,2,3.17,0
497,Cliente 497,cliente497@example.com,0995495458,Plan Familiar,47.61,25,1214.71,month-to-month,credit_card,0,1.68,0
498,Cliente 498,cliente498@example.com,0946100472,Plan Familiar,39.6,44,1825.4,month-to-month,credit_card,0,5.0,0
499,Cliente 499,cliente499@example.com,0991620756,Plan Prepago Movil,20.24,17,325.0,one-year,cash,0,3.83,0
500,Cliente 500,cliente500@example.com,0995843338,Plan Prepago Movil,46.13,27,1181.79,month-to-month,credit_card,0,3.74,0
501,Cliente 501,cliente501@example.com,0959271209,Plan Ilimitado,39.69,12,448.58,month-to-month,bank_transfer,0,3.86,0
502,Cliente 502,cliente502@example.com,0928413353,Fibra 1GB,36.7,60,2032.94,one-year,bank_transfer,0,4.26,0
503,Cliente 503,cliente503@example.com,0967155272,Fibra 500MB,15.0,13,198.53,month-to-month,bank_transfer,1,4.68,0
504,Cliente 504,cliente504@example.com,0984366562,Plan Familiar,57.29,14,729.16,month-to-month,credit_card,2,1.88,0
505,Cliente 505,cliente505@example.com,0986298175,Plan Ilimitado,22.81,33,786.73,month-to-month,bank_transfer,3,5.0,0
506,Cliente 506,cliente506@example.com,0973220839,Fibra 500MB,46.14,31,1486.26,one-year,bank_transfer,0,4.97,0
507,Cliente 507,cliente507@example.com,0923837096,Plan Familiar,30.45,22,614.81,two-year,bank_transfer,1,3.53,0
508,Cliente 508,cliente508@example.com,0970942106,Plan Prepago Movil,38.0,26,967.68,two-year,credit_card,0,3.47,0
509,Cliente 509,cliente509@example.com,0929208758,Combo TV+Internet,65.74,21,1448.09,one-year,bank_transfer,0,1.0,1
510,Cliente 510,cliente510@example.com,0971496615,Combo TV+Internet,54.57,66,3702.08,one-year,credit_card,2,2.23,0
511,Cliente 511,cliente511@example.com,0916225064,Fibra 500MB,65.34,42,2764.23,one-year,bank_transfer,2,4.17,0
512,Cliente 512,cliente512@example.com,0957791402,Fibra 500MB,50.95,67,3083.79,month-to-month,credit_card,1,4.92,0
513,Cliente 513,cliente513@example.com,0951490229,Plan Familiar,52.13,72,3416.52,month-to-month,credit_card,4,4.4,1
514,Cliente 514,cliente514@example.com,0971707274,Internet Hogar 100MB,15.0,47,718.47,one-year,cash,3,3.52,0
515,Cliente 515,cliente515@example.com,0973598591,Fibra 200MB,39.28,60,2254.2,one-year,credit_card,0,5.0,0
516,Cliente 516,cliente516@example.com,0976234667,Plan Ilimitado,40.95,8,327.69,month-to-month,cash,0,4.71,0
517,Cliente 517,cliente517@example.com,0969850314,Plan Prepago Movil,67.03,69,4675.38,two-year,cash,0,3.17,1
518,Cliente 518,cliente518@example.com,0994845062,Combo TV+Internet,35.89,35,1210.08,one-year,credit_card,3,5.0,0
519,Cliente 519,cliente519@example.com,0949298039,Fibra 200MB,49.77,52,2384.9,month-to-month,credit_card,0,2.39,0
520,Cliente 520,cliente520@example.com,0947907959,Plan Prepago Movil,49.06,17,798.99,month-to-month,credit_card,0,1.98,0
521,Cliente 521,cliente521@example.com,0966178315,Plan Familiar,65.84,6,407.15,month-to-month,cash,3,3.14,1
522,Cliente 522,cliente522@example.com,0997854386,Fibra 500MB,42.59,64,2588.55,month-to-month,bank_transfer,1,2.77,1
523,Cliente 523,cliente523@example.com,0978984154,Plan Familiar,59.9,32,1743.13,month-to-month,credit_card,0,3.2,0
524,Cliente 524,cliente524@example.com,0990860209,Fibra 500MB,15.0,10,156.58,month-to-month,bank_transfer,0,4.48,0
525,Cliente 525,cliente525@example.com,0966541712,Combo TV+Internet,15.95,48,767.21,month-to-month,credit_card,0,3.56,0
526,Cliente 526,cliente526@example.com,0990904518,Combo TV+Internet,15.0,3,44.15,month-to-month,bank_transfer,1,3.59,0
527,Cliente 527,cliente527@example.com,0992273073,Combo TV+Internet,59.15,32,1938.92,one-year,bank_transfer,2,3.66,0
528,Cliente 528,cliente528@example.com,0946587996,Fibra 200MB,57.13,51,2801.96,one-year,credit_card,2,1.06,0
529,Cliente 529,cliente529@example.com,0954604259,Internet Hogar 100MB,61.14,52,3331.15,month-to-month,cash,0,1.93,0
530,Cliente 530,cliente530@example.com,0945436281,Plan Familiar,32.81,33,1113.74,month-to-month,credit_card,2,3.18,0
531,Cliente 531,cliente531@example.com,0927043914,Fibra 1GB,34.86,27,886.71,month-to-month,bank_transfer,0,2.67,0
532,Cliente 532,cliente532@example.com,0948518162,Plan Ilimitado,42.82,61,2496.2,month-to-month,bank_transfer,3,3.35,0
533,Cliente 533,cliente533@example.com,0911996893,Combo TV+Internet,70.99,13,868.75,month-to-month,cash,2,5.0,0
534,Cliente 534,cliente534@example.com,0975150621,Internet Hogar 100MB,75.49,5,377.04,month-to-month,bank_transfer,1,3.52,1
535,Cliente 535,cliente535@example.com,0973400954,Internet Hogar 100MB,59.29,11,649.52,month-to-month,cash,2,2.15,1
536,Cliente 536,cliente536@example.com,0967196320,Plan Prepago Movil,50.96,58,2891.77,two-year,credit_card,2,2.73,0
537,Cliente 537,cliente537@example.com,0923262450,Plan Prepago Movil,69.04,34,2452.7,month-to-month,cash,1,5.0,0
538,Cliente 538,cliente538@example.com,0910661781,Fibra 200MB,40.39,2,78.42,two-year,credit_card,1,5.0,0
539,Cliente 539,cliente539@example.com,0917335043,Plan Ilimitado,37.96,12,463.52,month-to-month,bank_transfer,2,4.26,0
540,Cliente 540,cliente540@example.com,0987264472,Plan Prepago Movil,42.68,2,85.25,month-to-month,credit_card,2,1.88,1
541,Cliente 541,cliente541@example.com,0954639314,Fibra 500MB,27.38,59,1579.44,two-year,cash,4,3.94,0
542,Cliente 542,cliente542@example.com,0924910241,Combo TV+Internet,41.85,33,1251.67,month-to-month,cash,0,4.02,0
543,Cliente 543,cliente543@example.com,0966749690,Plan Familiar,24.89,4,99.42,one-year,credit_card,1,3.63,0
544,Cliente 544,cliente544@example.com,0963111047,Plan Ilimitado,63.45,16,1011.53,two-year,bank_transfer,0,2.97,0
545,Cliente 545,cliente545@example.com,0941718302,Plan Ilimitado,54.79,45,2265.18,one-year,bank_transfer,2,3.2,0
546,Cliente 546,cliente546@example.com,0989492442,Plan Prepago Movil,70.73,43,3100.35,month-to-month,credit_card,2,2.9,0
547,Cliente 547,cliente547@example.com,0934641480,Fibra 200MB,15.67,59,896.84,month-to-month,bank_transfer,0,2.34,0
548,Cliente 548,cliente548@example.com,0991012385,Fibra 500MB,79.23,1,75.16,month-to-month,bank_transfer,0,5.0,0
549,Cliente 549,cliente549@example.com,0968129702,Internet Hogar 100MB,16.7,5,85.47,month-to-month,bank_transfer,1,4.57,1
550,Cliente 550,cliente550@example.com,0930563249,Plan Prepago Movil,23.43,2,44.59,month-to-month,credit_card,2,3.29,1
551,Cliente 551,cliente551@example.com,0979510152,Plan Ilimitado,33.83,28,940.87,two-year,cash,2,3.99,0
552,Cliente 552,cliente552@example.com,0939003782,Fibra 500MB,68.54,53,3606.06,one-year,credit_card,1,4.03,0
553,Cliente 553,cliente553@example.com,0925818826,Fibra 200MB,49.06,48,2138.04,month-to-month,bank_transfer,1,5.0,0
554,Cliente 554,cliente554@example.com,0960420475,Fibra 1GB,40.61,15,586.87,month-to-month,credit_card,4,4.56,1
555,Cliente 555,cliente555@example.com,0908035971,Fibra 500MB,30.73,47,1348.14,one-year,credit_card,1,4.52,0
556,Cliente 556,cliente556@example.com,0948295669,Fibra 200MB,20.23,47,884.19,two-year,credit_card,0,3.64,0
557,Cliente 557,cliente557@example.com,0964565092,Plan Familiar,65.39,13,848.58,month-to-month,credit_card,0,3.12,0
558,Cliente 558,cliente558@example.com,0965180995,Plan Ilimitado,59.38,54,2891.36,month-to-month,bank_transfer,2,5.0,0
559,Cliente 559,cliente559@example.com,0998879781,Internet Hogar 100MB,69.34,30,2174.56,two-year,bank_transfer,2,4.32,0
560,Cliente 560,cliente560@example.com,0944944765,Fibra 500MB,52.14,4,200.07,two-year,bank_transfer,2,2.69,0
561,Cliente 561,cliente561@example.com,0998790507,Fibra 200MB,15.0,28,396.82,two-year,bank_transfer,1,4.1,0
562,Cliente 562,cliente562@example.com,0915760479,Plan Familiar,22.6,56,1313.69,month-to-month,credit_card,0,4.52,0
563,Cliente 563,cliente563@example.com,0988371324,Fibra 1GB,53.37,50,2596.45,month-to-month,credit_card,1,1.29,1
564,Cliente 564,cliente564@example.com,0988890987,Fibra 500MB,38.35,19,722.93,month-to-month,bank_transfer,0,,0
565,Cliente 565,cliente565@example.com,0907602713,Plan Ilimitado,34.94,55,1930.11,month-to-month,bank_transfer,0,4.0,0
566,Cliente 566,cliente566@example.com,0968208984,Fibra 500MB,25.14,28,725.54,two-year,bank_transfer,1,1.48,0
567,Cliente 567,cliente567@example.com,0971666687,Combo TV+Internet,62.06,33,1883.04,month-to-month,credit_card,1,1.66,0
568,Cliente 568,cliente568@example.com,0907756028,Fibra 200MB,53.21,6,291.24,one-year,cash,1,3.3,0
569,Cliente 569,cliente569@example.com,0909272067,Fibra 500MB,54.02,72,4080.24,two-year,credit_card,1,4.14,0
570,Cliente 570,cliente570@example.com,0902393090,Fibra 200MB,33.6,61,1847.37,two-year,bank_transfer,2,4.19,0
571,Cliente 571,cliente571@example.com,0941271657,Combo TV+Internet,48.17,14,678.58,one-year,credit_card,3,5.0,0
572,Cliente 572,cliente572@example.com,0913089451,Combo TV+Internet,20.92,40,829.82,two-year,bank_transfer,6,3.69,0
573,Cliente 573,cliente573@example.com,0987151563,Fibra 500MB,42.66,56,2348.07,month-to-month,credit_card,3,3.19,0
574,Cliente 574,cliente574@example.com,0947104424,Plan Familiar,15.0,36,549.65,month-to-month,bank_transfer,1,2.16,0
575,Cliente 575,cliente575@example.com,0917726233,Internet Hogar 100MB,16.77,15,263.84,month-to-month,credit_card,1,3.18,1
576,Cliente 576,cliente576@example.com,0994629613,Fibra 200MB,39.2,70,2488.9,two-year,bank_transfer,1,4.38,0
577,Cliente 577,cliente577@example.com,0954855387,Fibra 200MB,87.75,19,1654.21,two-year,credit_card,1,4.43,0
578,Cliente 578,cliente578@example.com,0976672513,Fibra 1GB,15.0,24,362.71,month-to-month,bank_transfer,1,3.89,0
579,Cliente 579,cliente579@example.com,0922544831,Combo TV+Internet,22.62,27,577.69,month-to-month,credit_card,0,4.2,0
580,Cliente 580,cliente580@example.com,0972962599,Combo TV+Internet,48.9,65,3286.34,month-to-month,credit_card,0,5.0,0
581,Cliente 581,cliente581@example.com,0930086777,Internet Hogar 100MB,76.85,36,2679.59,month-to-month,bank_transfer,4,3.68,0
582,Cliente 582,cliente582@example.com,0953237017,Internet Hogar 100MB,48.64,52,2338.75,two-year,credit_card,0,5.0,0
583,Cliente 583,cliente583@example.com,0961021288,Plan Prepago Movil,57.64,65,3852.11,month-to-month,credit_card,2,2.8,0
584,Cliente 584,cliente584@example.com,0922842748,Plan Familiar,38.92,67,2715.7,one-year,cash,2,3.52,0
585,Cliente 585,cliente585@example.com,0987955011,Fibra 200MB,35.81,62,2031.34,one-year,cash,0,3.07,0
586,Cliente 586,cliente586@example.com,0992647395,Plan Familiar,46.48,66,3106.8,month-to-month,cash,1,4.47,0
587,Cliente 587,cliente587@example.com,0924373079,Plan Ilimitado,33.15,69,2132.39,month-to-month,credit_card,3,2.48,0
588,Cliente 588,cliente588@example.com,0928030369,Plan Ilimitado,58.04,72,3765.21,two-year,bank_transfer,0,3.25,0
589,Cliente 589,cliente589@example.com,0989639089,Plan Ilimitado,16.09,46,695.06,one-year,bank_transfer,1,1.55,0
590,Cliente 590,cliente590@example.com,0906869268,Plan Prepago Movil,61.02,9,564.69,month-to-month,credit_card,2,4.25,0
591,Cliente 591,cliente591@example.com,0905948723,Fibra 500MB,45.71,8,336.86,month-to-month,bank_transfer,1,4.97,0
592,Cliente 592,cliente592@example.com,0944564669,Plan Ilimitado,41.14,58,2194.28,two-year,credit_card,2,4.6,0
593,Cliente 593,cliente593@example.com,0985133295,Fibra 1GB,15.43,23,358.74,two-year,cash,1,4.49,0
594,Cliente 594,cliente594@example.com,0991757353,Fibra 1GB,27.36,58,1524.92,two-year,bank_transfer,1,4.52,0
595,Cliente 595,cliente595@example.com,0961647016,Fibra 1GB,66.58,68,4175.54,one-year,bank_transfer,0,4.37,0
596,Cliente 596,cliente596@example.com,0932990567,Combo TV+Internet,41.25,47,1811.76,two-year,bank_transfer,1,4.28,0
597,Cliente 597,cliente597@example.com,0928686802,Fibra 200MB,50.01,55,2803.33,month-to-month,credit_card,1,4.35,0
598,Cliente 598,cliente598@example.com,0953179566,Fibra 1GB,29.17,20,579.6,one-year,credit_card,1,2.88,0
599,Cliente 599,cliente599@example.com,0946812176,Fibra 200MB,44.48,31,1398.38,month-to-month,bank_transfer,4,3.38,1
600,Cliente 600,cliente600@example.com,0966581682,Plan Ilimitado,20.3,70,1299.74,one-year,bank_transfer,0,3.68,0
601,Cliente 601,cliente601@example.com,0970139347,Plan Familiar,46.8,59,2674.82,two-year,bank_transfer,0,3.23,0
602,Cliente 602,cliente602@example.com,0976082572,Combo TV+Internet,51.67,14,737.53,two-year,credit_card,2,1.88,0
603,Cliente 603,cliente603@example.com,0965127034,Plan Prepago Movil,50.77,68,3244.77,month-to-month,bank_transfer,1,2.24,0
604,Cliente 604,cliente604@example.com,0934909796,Combo TV+Internet,28.74,36,957.43,one-year,credit_card,1,3.85,0
605,Cliente 605,cliente605@example.com,0990779055,Fibra 500MB,38.84,61,2268.0,two-year,credit_card,0,4.6,0
606,Cliente 606,cliente606@example.com,0906446763,Plan Prepago Movil,54.67,38,1973.6,two-year,cash,1,3.61,0
607,Cliente 607,cliente607@example.com,0992343391,Plan Prepago Movil,41.19,44,1681.55,one-year,bank_transfer,3,5.0,0
608,Cliente 608,cliente608@example.com,0954022445,Fibra 200MB,39.83,11,457.01,month-to-month,bank_transfer,1,2.59,1
609,Cliente 609,cliente609@example.com,0937389618,Combo TV+Internet,79.26,24,1849.86,month-to-month,cash,0,4.09,0
610,Cliente 610,cliente610@example.com,0985376768,Fibra 500MB,27.88,52,1437.02,two-year,credit_card,1,5.0,0
611,Cliente 611,cliente611@example.com,0997398409,Plan Ilimitado,64.45,61,3609.72,one-year,cash,2,4.77,0
612,Cliente 612,cliente612@example.com,0954608125,Fibra 500MB,24.22,6,144.09,one-year,bank_transfer,0,4.32,0
613,Cliente 613,cliente613@example.com,0960519346,Internet Hogar 100MB,56.79,5,279.21,one-year,bank_transfer,2,4.78,0
614,Cliente 614,cliente614@example.com,0911952687,Internet Hogar 100MB,57.75,50,3002.39,month-to-month,credit_card,0,,1
615,Cliente 615,cliente615@example.com,0946827938,Plan Prepago Movil,35.81,32,1102.2,month-to-month,credit_card,1,5.0,0
616,Cliente 616,cliente616@example.com,0903206538,Fibra 1GB,23.09,61,1432.87,two-year,credit_card,2,5.0,0
617,Cliente 617,cliente617@example.com,0928680907,Plan Prepago Movil,15.0,4,56.74,month-to-month,credit_card,3,2.66,0
618,Cliente 618,cliente618@example.com,0971001192,Combo TV+Internet,33.93,25,837.09,one-year,credit_card,2,3.95,0
619,Cliente 619,cliente619@example.com,0980645720,Internet Hogar 100MB,54.47,2,113.19,one-year,bank_transfer,1,1.9,0
620,Cliente 620,cliente620@example.com,0928598100,Fibra 500MB,25.6,51,1297.45,two-year,bank_transfer,3,5.0,0
621,Cliente 621,cliente621@example.com,0914084780,Plan Ilimitado,46.75,62,2917.84,month-to-month,credit_card,1,3.85,0
622,Cliente 622,cliente622@example.com,0946982276,Plan Familiar,18.42,11,208.98,one-year,bank_transfer,1,5.0,0
623,Cliente 623,cliente623@example.com,0924923962,Internet Hogar 100MB,40.79,23,974.58,month-to-month,cash,0,3.48,0
624,Cliente 624,cliente624@example.com,0928274237,Fibra 500MB,24.35,61,1383.22,month-to-month,bank_transfer,0,1.56,0
625,Cliente 625,cliente625@example.com,0980926228,Fibra 500MB,43.6,3,121.56,month-to-month,bank_transfer,1,5.0,0
626,Cliente 626,cliente626@example.com,0979020449,Plan Prepago Movil,35.98,69,2439.35,month-to-month,bank_transfer,2,,0
627,Cliente 627,cliente627@example.com,0926904304,Internet Hogar 100MB,23.57,64,1582.89,two-year,credit_card,2,2.5,0
628,Cliente 628,cliente628@example.com,0923253736,Fibra 1GB,33.14,11,354.89,two-year,credit_card,1,4.86,0
629,Cliente 629,cliente629@example.com,0953875577,Combo TV+Internet,28.19,10,267.7,month-to-month,cash,0,5.0,0
630,Cliente 630,cliente630@example.com,0971245383,Fibra 500MB,21.35,50,1046.78,two-year,bank_transfer,1,3.38,0
631,Cliente 631,cliente631@example.com,0956357395,Fibra 200MB,64.49,0,0.0,month-to-month,bank_transfer,1,3.49,0
632,Cliente 632,cliente632@example.com,0977865748,Plan Familiar,38.52,36,1284.91,one-year,cash,1,3.86,0
633,Cliente 633,cliente633@example.com,0957215873,Fibra 200MB,15.0,4,55.34,two-year,credit_card,0,2.38,0
634,Cliente 634,cliente634@example.com,0986597202,Fibra 1GB,33.78,38,1160.65,one-year,credit_card,0,,0
635,Cliente 635,cliente635@example.com,0911596427,Fibra 1GB,61.46,25,1549.3,month-to-month,bank_transfer,0,5.0,0
636,Cliente 636,cliente636@example.com,0950414028,Combo TV+Internet,31.3,51,1514.6,month-to-month,credit_card,2,3.45,0
637,Cliente 637,cliente637@example.com,0911299679,Internet Hogar 100MB,71.96,64,4261.32,month-to-month,bank_transfer,1,2.68,0
638,Cliente 638,cliente638@example.com,0924059074,Plan Prepago Movil,29.58,35,1011.32,two-year,cash,4,3.1,0
639,Cliente 639,cliente639@example.com,0995415900,Combo TV+Internet,54.06,46,2358.73,one-year,bank_transfer,0,4.78,0
640,Cliente 640,cliente640@example.com,0982664462,Internet Hogar 100MB,63.66,43,2625.02,month-to-month,credit_card,1,1.43,1
641,Cliente 641,cliente641@example.com,0919017531,Fibra 1GB,53.1,71,3571.53,month-to-month,bank_transfer,0,3.88,0
642,Cliente 642,cliente642@example.com,0930549845,Fibra 500MB,20.26,16,291.94,two-year,credit_card,1,5.0,0
643,Cliente 643,cliente643@example.com,0962609982,Plan Ilimitado,28.04,17,478.23,month-to-month,cash,2,5.0,0
644,Cliente 644,cliente644@example.com,0975903091,Combo TV+Internet,66.06,27,1634.87,one-year,credit_card,0,4.23,0
645,Cliente 645,cliente645@example.com,0901951348,Fibra 1GB,30.52,53,1508.98,one-year,cash,1,5.0,0
646,Cliente 646,cliente646@example.com,0921741442,Fibra 500MB,62.56,63,3659.67,month-to-month,bank_transfer,0,5.0,0
647,Cliente 647,cliente647@example.com,0920805083,Internet Hogar 100MB,37.25,20,707.53,month-to-month,credit_card,4,3.46,0
648,Cliente 648,cliente648@example.com,0990330444,Plan Prepago Movil,47.55,8,351.5,month-to-month,bank_transfer,1,4.62,0
649,Cliente 649,cliente649@example.com,0951246349,Plan Familiar,20.05,44,839.89,month-to-month,credit_card,3,5.0,0
650,Cliente 650,cliente650@example.com,0960308842,Plan Prepago Movil,34.05,43,1371.16,one-year,bank_transfer,4,2.21,0
651,Cliente 651,cliente651@example.com,0971781516,Plan Prepago Movil,29.24,27,717.78,two-year,cash,1,4.23,0
652,Cliente 652,cliente652@example.com,0960924297,Internet Hogar 100MB,49.06,13,657.29,month-to-month,cash,0,4.0,0
653,Cliente 653,cliente653@example.com,0993552989,Internet Hogar 100MB,46.68,62,2737.4,month-to-month,credit_card,2,3.71,0
654,Cliente 654,cliente654@example.com,0941158677,Plan Familiar,53.33,61,2974.31,month-to-month,bank_transfer,0,3.62,1
655,Cliente 655,cliente655@example.com,0989372600,Fibra 200MB,36.17,54,1910.66,month-to-month,cash,3,3.85,0
656,Cliente 656,cliente656@example.com,0915955685,Plan Prepago Movil,28.26,42,1090.18,one-year,cash,1,3.95,0
657,Cliente 657,cliente657@example.com,0974948983,Fibra 200MB,48.29,19,932.16,one-year,credit_card,0,4.83,0
658,Cliente 658,cliente658@example.com,0937967484,Fibra 1GB,26.47,29,697.96,one-year,credit_card,2,4.12,0
659,Cliente 659,cliente659@example.com,0965878129,Plan Prepago Movil,64.41,4,249.83,month-to-month,cash,0,3.4,1
660,Cliente 660,cliente660@example.com,0917630081,Internet Hogar 100MB,42.94,18,805.05,one-year,credit_card,0,2.68,0
661,Cliente 661,cliente661@example.com,0971316169,Fibra 200MB,39.13,32,1156.8,month-to-month,credit_card,1,3.08,0
662,Cliente 662,cliente662@example.com,0976987536,Plan Prepago Movil,53.32,31,1537.55,two-year,bank_transfer,0,3.89,0
663,Cliente 663,cliente663@example.com,0918827688,Plan Familiar,43.63,5,215.98,one-year,credit_card,0,2.82,0
664,Cliente 664,cliente664@example.com,0979341825,Fibra 500MB,15.16,69,1095.18,two-year,cash,1,4.64,0
665,Cliente 665,cliente665@example.com,0912625462,Plan Familiar,25.89,19,471.19,month-to-month,credit_card,0,4.07,0
666,Cliente 666,cliente666@example.com,0940517848,Fibra 1GB,64.04,37,2363.07,month-to-month,bank_transfer,2,4.86,0
667,Cliente 667,cliente667@example.com,0938554974,Combo TV+Internet,46.51,33,1416.41,one-year,cash,2,2.9,0
668,Cliente 668,cliente668@example.com,0974848256,Combo TV+Internet,15.0,34,508.07,month-to-month,cash,0,2.69,0
669,Cliente 669,cliente669@example.com,0954092180,Plan Ilimitado,51.34,61,2937.26,one-year,cash,1,4.85,0
670,Cliente 670,cliente670@example.com,0973727955,Fibra 500MB,34.93,54,1871.12,month-to-month,cash,1,3.74,0
671,Cliente 671,cliente671@example.com,0963560452,Fibra 1GB,29.26,63,1683.56,two-year,credit_card,0,3.38,0
672,Cliente 672,cliente672@example.com,0943528668,Combo TV+Internet,24.39,27,644.53,month-to-month,cash,0,4.37,0
673,Cliente 673,cliente673@example.com,0902163793,Plan Ilimitado,63.0,19,1119.93,two-year,cash,0,4.33,0
674,Cliente 674,cliente674@example.com,0934433344,Combo TV+Internet,15.0,31,466.05,month-to-month,bank_transfer,0,2.22,0
675,Cliente 675,cliente675@example.com,0942642783,Internet Hogar 100MB,29.92,40,1211.34,month-to-month,credit_card,1,5.0,0
676,Cliente 676,cliente676@example.com,0959323446,Combo TV+Internet,47.16,24,1162.65,month-to-month,credit_card,2,3.15,0
677,Cliente 677,cliente677@example.com,0925192313,Fibra 1GB,73.41,33,2540.89,month-to-month,bank_transfer,0,5.0,1
678,Cliente 678,cliente678@example.com,0995653737,Internet Hogar 100MB,54.97,11,585.87,two-year,bank_transfer,2,2.13,0
